sentence,context,source_file,stock_id,year,company_name,is_labeled,label,reason
2018年3月5日，公司从“深圳市交通运输委员会”公开网站上获悉“月亮湾大道快速化改造工程社会稳定风险分 析公众参与公示”的公告后，立即会同公司聘请的专项法律顾问，按公告的相关要求起草了回复，并在规定的截止日期前提 交给建设单位“深圳市交通公用设施建设中心”和承担评价工作的社会稳定风险评估机构“贵州省交通规划勘察设计研究院 股份有限公司”，就该项目建设对公司及下属企业可能产生的重大影响提出了意见和建议。,"7月15日公司及时履行了信息披露义务。
7月18日，公司收到深圳市经济贸易 和信息化委员会《关于建议开展南山热电厂搬迁至深汕合作区可行性研究的函》，建议公司认真研究将南山热电厂搬迁至深 汕合作区的可行性。
8月10日，公司向市规划国土委递交了《关于<前海蛇口自贸区综合规划>的异议书》，就《通告》及其 公示的《中国（广东）自由贸易试验区深圳前海蛇口片区综合规划》中涉及公司下属南山热电厂等单位所处土地的相关安排 和就地关停的决定提出异议，并于8月12日履行了信息披露义务。
12月8日，公司收到《深圳市交通公用设施建设中心关于征 求月亮湾大道快速化改造工程方案设计意见的函》，就月亮湾大道快速化改造工程方案设计过程中涉及公司下属企业相关管 线的处理征求公司意见。
公司立即组织相关下属企业，对对方提供的该工程管廊部分设计方案可能对生产经营产生重大影响 的因素做了详细分析，并于12月19日向深圳市交通公用设施建设中心递交了《深南电关于《市交通公用设施建设中心关于征 求月亮湾大道快速化改造的工程方案设计意见函》的复函》，要求设计单位做好功能替代以确保生产经营持续，希望深圳市 交通公用设施建设中心充分考虑公司作为上市公司的特殊情况，协调相关单位审慎对待，在充分协商一致的前提下方可开展 相关工作。
2018年3月5日，公司从“深圳市交通运输委员会”公开网站上获悉“月亮湾大道快速化改造工程社会稳定风险分 析公众参与公示”的公告后，立即会同公司聘请的专项法律顾问，按公告的相关要求起草了回复，并在规定的截止日期前提 交给建设单位“深圳市交通公用设施建设中心”和承担评价工作的社会稳定风险评估机构“贵州省交通规划勘察设计研究院 股份有限公司”，就该项目建设对公司及下属企业可能产生的重大影响提出了意见和建议。
目前，公司正在法律顾问的参与 和配合下，积极开展前海土地的相关工作，密切跟踪前海蛇口自贸区的综合规划情况，公司将尽最大努力维护公司股东和员 工的权益。
3、申请撤销公司股票交易退市风险警示。
根据瑞华会计师事务所（特殊普通合伙）出具的公司2016年度""标准无保留意 见""的审计报告，依据《股票上市规则》第13.2.10条规定，公司股票交易被实施退市风险警示的情形已消除，并且不存在其 他被实行退市风险警示的情形。
2017年3月24日，公司第七届董事会第十次会议审议通过了《2016年年度报告全文及摘要》、 《关于申请撤销公司股票交易退市风险警示的议案》等议案。
3月27日，公司向深交所提交了《关于撤销公司股票交易退市 风险警示的申请》。",000037_2017_深南电A_2017年年度报告_2018-03-21.txt,000037,2017,深南电A,True,0,待标注句子未包含指定的工业互联网核心关键词，根据核心标注规则第一条，不满足标注为1的条件，因此直接判定为0。
（4）融资租入固定资产的认定依据及计价方法 融资租赁为实质上转移了与资产所有权有关的全部风险和报酬的租赁，其所有 权最终可能转移，也可能不转移。,"固定资产按成本并考虑预计弃置费用 因素的影响进行初始计量。
（2）各类固定资产的折旧方法 固定资产从达到预定可使用状态的次月起，除燃气轮发电机组按工作量法计提 折旧外，其他固定资产按年限平均法在使用寿命内计提折旧。
各类固定资产的使用寿命、预计净残值和年折旧率如下： 类别 使用寿命 预计净残值率 年折旧率 房屋及建筑物 20 年 10% 4.5% 机器设备(除燃气轮发电机组) 15-20 年 10% 4.5%-6% 机器设备-燃气轮发电机组(注) 10% 工作量法 运输工具 5 年 10% 18% 其他设备 5 年 10% 18% 预计净残值是指假定固定资产预计使用寿命已满并处于使用寿命终了时的预 期状态，本集团目前从该项资产处置中获得的扣除预计处置费用后的金额。
注：燃气轮发电机组按工作量法计提折旧，即根据设备价值、预计净残值率及 预计发电小时总数，确定燃气轮发电机组的单位发电小时折旧额。
明细列示如下： 公司名称 固定资产 折旧额(人民币元/小时) 本公司 一号发电机组 391.26 深圳南山热电股份有限公司 2017 年度财务报表附注 124 公司名称 固定资产 折旧额(人民币元/小时) 三号发电机组 397.15 七号发电机组 4,214.73 深圳新电力实业有限公司(“新电力”) 十号发电机组 2,134.37 深南电(中山)电力有限公司(“中山电力”) 一号发电机组 4,246.00 三号发电机组 4,160.83 深南电(东莞)唯美电力有限公司(“唯美电力”) 一号发电机组 4,490.64 三号发电机组 4,217.56 （3）固定资产的减值测试方法及减值准备计提方法 固定资产的减值测试方法和减值准备计提方法详见附注四、20“长期资产减值”。
（4）融资租入固定资产的认定依据及计价方法 融资租赁为实质上转移了与资产所有权有关的全部风险和报酬的租赁，其所有 权最终可能转移，也可能不转移。
以融资租赁方式租入的固定资产采用与自有固定 资产一致的政策计提租赁资产折旧。
能够合理确定租赁期届满时取得租赁资产所有 权的在租赁资产使用寿命内计提折旧，无法合理确定租赁期届满能够取得租赁资产 所有权的，在租赁期与租赁资产使用寿命两者中较短的期间内计提折旧。
（5）其他说明 与固定资产有关的后续支出，如果与该固定资产有关的经济利益很可能流入且 其成本能可靠地计量，则计入固定资产成本，并终止确认被替换部分的账面价值。
除此以外的其他后续支出，在发生时计入当期损益。
当固定资产处于处置状态或预期通过使用或处置不能产生经济利益时，终止确 认该固定资产。",000037_2017_深南电A_2017年年度报告_2018-03-21.txt,000037,2017,深南电A,True,0,待标注句子未包含工业互联网核心关键词，不符合标注为1的强制条件（必填前提）。句子内容仅涉及融资租赁的会计处理方法，属于企业内部会计政策描述，未体现工业互联网平台的实际应用或内部业务流程改造优化。
以融资租赁方式租入的固定资产采用与自有固定 资产一致的政策计提租赁资产折旧。,"（2）各类固定资产的折旧方法 固定资产从达到预定可使用状态的次月起，除燃气轮发电机组按工作量法计提 折旧外，其他固定资产按年限平均法在使用寿命内计提折旧。
各类固定资产的使用寿命、预计净残值和年折旧率如下： 类别 使用寿命 预计净残值率 年折旧率 房屋及建筑物 20 年 10% 4.5% 机器设备(除燃气轮发电机组) 15-20 年 10% 4.5%-6% 机器设备-燃气轮发电机组(注) 10% 工作量法 运输工具 5 年 10% 18% 其他设备 5 年 10% 18% 预计净残值是指假定固定资产预计使用寿命已满并处于使用寿命终了时的预 期状态，本集团目前从该项资产处置中获得的扣除预计处置费用后的金额。
注：燃气轮发电机组按工作量法计提折旧，即根据设备价值、预计净残值率及 预计发电小时总数，确定燃气轮发电机组的单位发电小时折旧额。
明细列示如下： 公司名称 固定资产 折旧额(人民币元/小时) 本公司 一号发电机组 391.26 深圳南山热电股份有限公司 2017 年度财务报表附注 124 公司名称 固定资产 折旧额(人民币元/小时) 三号发电机组 397.15 七号发电机组 4,214.73 深圳新电力实业有限公司(“新电力”) 十号发电机组 2,134.37 深南电(中山)电力有限公司(“中山电力”) 一号发电机组 4,246.00 三号发电机组 4,160.83 深南电(东莞)唯美电力有限公司(“唯美电力”) 一号发电机组 4,490.64 三号发电机组 4,217.56 （3）固定资产的减值测试方法及减值准备计提方法 固定资产的减值测试方法和减值准备计提方法详见附注四、20“长期资产减值”。
（4）融资租入固定资产的认定依据及计价方法 融资租赁为实质上转移了与资产所有权有关的全部风险和报酬的租赁，其所有 权最终可能转移，也可能不转移。
以融资租赁方式租入的固定资产采用与自有固定 资产一致的政策计提租赁资产折旧。
能够合理确定租赁期届满时取得租赁资产所有 权的在租赁资产使用寿命内计提折旧，无法合理确定租赁期届满能够取得租赁资产 所有权的，在租赁期与租赁资产使用寿命两者中较短的期间内计提折旧。
（5）其他说明 与固定资产有关的后续支出，如果与该固定资产有关的经济利益很可能流入且 其成本能可靠地计量，则计入固定资产成本，并终止确认被替换部分的账面价值。
除此以外的其他后续支出，在发生时计入当期损益。
当固定资产处于处置状态或预期通过使用或处置不能产生经济利益时，终止确 认该固定资产。
固定资产出售、转让、报废或毁损的处置收入扣除其账面价值和相 关税费后的差额计入当期损益。",000037_2017_深南电A_2017年年度报告_2018-03-21.txt,000037,2017,深南电A,True,0,根据核心标注规则，待标注句子未满足所有标注为1的条件。首先，句子未包含工业互联网核心关键词（如“工业互联网平台”、“智能制造”等），不符合条件1。其次，虽然描述的是企业内部资产管理，但主语为“以融资租赁方式租入的固定资产”，未明确指向企业自身行为，不符合条件5。此外，句子未明确体现企业作为平台最终使用方调用平台功能，不符合条件6。因此，标注结果为0。
27、租赁 融资租赁为实质上转移了与资产所有权有关的全部风险和报酬的租赁，其所有 权最终可能转移，也可能不转移。,"在很可能获得足够的应纳税所得额时，减记的金额予以转回。
（3）所得税费用 所得税费用包括当期所得税和递延所得税。
深圳南山热电股份有限公司 2017 年度财务报表附注 132 除确认为其他综合收益或直接计入股东权益的交易和事项相关的当期所得税 和递延所得税计入其他综合收益或股东权益，以及企业合并产生的递延所得税调整 商誉的账面价值外，其余当期所得税和递延所得税费用或收益计入当期损益。
（4）所得税的抵销 当拥有以净额结算的法定权利，且意图以净额结算或取得资产、清偿负债同时 进行时，本公司当期所得税资产及当期所得税负债以抵销后的净额列报。
当拥有以净额结算当期所得税资产及当期所得税负债的法定权利，且递延所得 税资产及递延所得税负债是与同一税收征管部门对同一纳税主体征收的所得税相 关或者是对不同的纳税主体相关，但在未来每一具有重要性的递延所得税资产及负 债转回的期间内，涉及的纳税主体意图以净额结算当期所得税资产和负债或是同时 取得资产、清偿负债时，本公司递延所得税资产及递延所得税负债以抵销后的净额 列报。
27、租赁 融资租赁为实质上转移了与资产所有权有关的全部风险和报酬的租赁，其所有 权最终可能转移，也可能不转移。
融资租赁以外的其他租赁为经营租赁。
（1）本集团作为承租人记录经营租赁业务 经营租赁的租金支出在租赁期内的各个期间按直线法计入相关资产成本或当 期损益。
初始直接费用计入当期损益。
或有租金于实际发生时计入当期损益。
（2）本集团作为出租人记录经营租赁业务 经营租赁的租金收入在租赁期内的各个期间按直线法确认为当期损益。",000037_2017_深南电A_2017年年度报告_2018-03-21.txt,000037,2017,深南电A,True,0,待标注句子未包含工业互联网核心关键词，且未描述企业自身内部业务流程的改造优化，仅定义融资租赁概念，未体现企业实际应用或落地行为，不符合标注为1的全部强制条件。根据规则第一条，必须包含指定关键词，而句子中未出现任何工业互联网相关术语；根据规则第六条，企业未作为平台最终使用方调用平台功能，仅描述通用租赁业务定义，属于通用数字化系统范畴，未涉及工业互联网实际落地应用。
融资租赁以外的其他租赁为经营租赁。,"（3）所得税费用 所得税费用包括当期所得税和递延所得税。
深圳南山热电股份有限公司 2017 年度财务报表附注 132 除确认为其他综合收益或直接计入股东权益的交易和事项相关的当期所得税 和递延所得税计入其他综合收益或股东权益，以及企业合并产生的递延所得税调整 商誉的账面价值外，其余当期所得税和递延所得税费用或收益计入当期损益。
（4）所得税的抵销 当拥有以净额结算的法定权利，且意图以净额结算或取得资产、清偿负债同时 进行时，本公司当期所得税资产及当期所得税负债以抵销后的净额列报。
当拥有以净额结算当期所得税资产及当期所得税负债的法定权利，且递延所得 税资产及递延所得税负债是与同一税收征管部门对同一纳税主体征收的所得税相 关或者是对不同的纳税主体相关，但在未来每一具有重要性的递延所得税资产及负 债转回的期间内，涉及的纳税主体意图以净额结算当期所得税资产和负债或是同时 取得资产、清偿负债时，本公司递延所得税资产及递延所得税负债以抵销后的净额 列报。
27、租赁 融资租赁为实质上转移了与资产所有权有关的全部风险和报酬的租赁，其所有 权最终可能转移，也可能不转移。
融资租赁以外的其他租赁为经营租赁。
（1）本集团作为承租人记录经营租赁业务 经营租赁的租金支出在租赁期内的各个期间按直线法计入相关资产成本或当 期损益。
初始直接费用计入当期损益。
或有租金于实际发生时计入当期损益。
（2）本集团作为出租人记录经营租赁业务 经营租赁的租金收入在租赁期内的各个期间按直线法确认为当期损益。
对金额 较大的初始直接费用于发生时予以资本化，在整个租赁期间内按照与确认租金收入 相同的基础分期计入当期损益；",000037_2017_深南电A_2017年年度报告_2018-03-21.txt,000037,2017,深南电A,True,0,待标注句子“融资租赁以外的其他租赁为经营租赁。”不包含工业互联网核心关键词（如物联网、大数据、人工智能等），仅涉及租赁业务的财务分类定义，属于通用财务术语，不符合标注为1的必填前提条件（第一条）。同时，句子未描述企业自身内部业务流程的改造优化，而是对租赁业务类型的定义性陈述，不符合自我应用属性（第二条）。此外，句子未提及任何企业已落地实施的应用行为动词，仅是对租赁业务类型的说明，不符合已落地实施（第三条）。综上，依据第一条标注为0的条件直接判定为0。
（3）本集团作为承租人记录融资租赁业务 于租赁期开始日，将租赁开始日租赁资产的公允价值与最低租赁付款额现值两 者中较低者作为租入资产的入账价值，将最低租赁付款额作为长期应付款的入账价 值，其差额作为未确认融资费用。,"或有租金于实际发生时计入当期损益。
（2）本集团作为出租人记录经营租赁业务 经营租赁的租金收入在租赁期内的各个期间按直线法确认为当期损益。
对金额 较大的初始直接费用于发生时予以资本化，在整个租赁期间内按照与确认租金收入 相同的基础分期计入当期损益；
其他金额较小的初始直接费用于发生时计入当期损 益。
或有租金于实际发生时计入当期损益。
（3）本集团作为承租人记录融资租赁业务 于租赁期开始日，将租赁开始日租赁资产的公允价值与最低租赁付款额现值两 者中较低者作为租入资产的入账价值，将最低租赁付款额作为长期应付款的入账价 值，其差额作为未确认融资费用。
此外，在租赁谈判和签订租赁合同过程中发生的， 可归属于租赁项目的初始直接费用也计入租入资产价值。
最低租赁付款额扣除未确 认融资费用后的余额分别长期负债和一年内到期的长期负债列示。
未确认融资费用在租赁期内采用实际利率法计算确认当期的融资费用。
或有租 金于实际发生时计入当期损益。
（4）本集团作为出租人记录融资租赁业务 于租赁期开始日，将租赁开始日最低租赁收款额与初始直接费用之和作为应收 深圳南山热电股份有限公司 2017 年度财务报表附注 133 融资租赁款的入账价值，同时记录未担保余值；",000037_2017_深南电A_2017年年度报告_2018-03-21.txt,000037,2017,深南电A,True,0,待标注句子未包含工业互联网核心关键词，根据核心标注规则第一条，不满足标注为1的条件。句子内容涉及会计处理方法，属于财务操作范畴，与工业互联网平台的实际应用无关，且未提及任何工业互联网相关技术或场景。
（4）本集团作为出租人记录融资租赁业务 于租赁期开始日，将租赁开始日最低租赁收款额与初始直接费用之和作为应收 深圳南山热电股份有限公司 2017 年度财务报表附注 133 融资租赁款的入账价值，同时记录未担保余值；,"（3）本集团作为承租人记录融资租赁业务 于租赁期开始日，将租赁开始日租赁资产的公允价值与最低租赁付款额现值两 者中较低者作为租入资产的入账价值，将最低租赁付款额作为长期应付款的入账价 值，其差额作为未确认融资费用。
此外，在租赁谈判和签订租赁合同过程中发生的， 可归属于租赁项目的初始直接费用也计入租入资产价值。
最低租赁付款额扣除未确 认融资费用后的余额分别长期负债和一年内到期的长期负债列示。
未确认融资费用在租赁期内采用实际利率法计算确认当期的融资费用。
或有租 金于实际发生时计入当期损益。
（4）本集团作为出租人记录融资租赁业务 于租赁期开始日，将租赁开始日最低租赁收款额与初始直接费用之和作为应收 深圳南山热电股份有限公司 2017 年度财务报表附注 133 融资租赁款的入账价值，同时记录未担保余值；
将最低租赁收款额、初始直接费用 及未担保余值之和与其现值之和的差额确认为未实现融资收益。
应收融资租赁款扣 除未实现融资收益后的余额分别长期债权和一年内到期的长期债权列示。
未实现融资收益在租赁期内采用实际利率法计算确认当期的融资收入。
或有租 金于实际发生时计入当期损益。
28、其他重要的会计政策和会计估计 （1）终止经营 终止经营，是指满足下列条件之一的已被本公司处置或划归为持有待售的、在 经营和编制财务报表时能够单独区分的组成部分：①该组成部分代表一项独立的主 要业务或一个主要经营地区；",000037_2017_深南电A_2017年年度报告_2018-03-21.txt,000037,2017,深南电A,True,0,待标注句子未包含工业互联网核心关键词（如物联网、工业互联网平台、智能制造等），根据核心标注规则第一条强制条件（必须包含指定的工业互联网核心关键词）无法满足，因此直接判定为0。
应收融资租赁款扣 除未实现融资收益后的余额分别长期债权和一年内到期的长期债权列示。,"最低租赁付款额扣除未确 认融资费用后的余额分别长期负债和一年内到期的长期负债列示。
未确认融资费用在租赁期内采用实际利率法计算确认当期的融资费用。
或有租 金于实际发生时计入当期损益。
（4）本集团作为出租人记录融资租赁业务 于租赁期开始日，将租赁开始日最低租赁收款额与初始直接费用之和作为应收 深圳南山热电股份有限公司 2017 年度财务报表附注 133 融资租赁款的入账价值，同时记录未担保余值；
将最低租赁收款额、初始直接费用 及未担保余值之和与其现值之和的差额确认为未实现融资收益。
应收融资租赁款扣 除未实现融资收益后的余额分别长期债权和一年内到期的长期债权列示。
未实现融资收益在租赁期内采用实际利率法计算确认当期的融资收入。
或有租 金于实际发生时计入当期损益。
28、其他重要的会计政策和会计估计 （1）终止经营 终止经营，是指满足下列条件之一的已被本公司处置或划归为持有待售的、在 经营和编制财务报表时能够单独区分的组成部分：①该组成部分代表一项独立的主 要业务或一个主要经营地区；
②该组成部分是拟对一项独立的主要业务或一个主要 经营地区进行处置计划的一部分；
③该组成部分是仅仅为了再出售而取得的子公 司。",000037_2017_深南电A_2017年年度报告_2018-03-21.txt,000037,2017,深南电A,True,0,待标注句子未包含工业互联网核心关键词，根据核心标注规则第一条，必须包含指定的工业互联网核心关键词才能标注为1。句子内容涉及会计政策和融资租赁业务的会计处理，属于财务领域，与工业互联网技术应用无关，因此不符合必填前提条件。
（9）预计负债 本公司根据合约条款、现有知识及历史经验，对产品质量保证、预计合同亏损、 延迟交货违约金等估计并计提相应准备。,"这需要本公司管理层运用大量的判断来估计未来应 纳税利润发生的时间和金额，结合纳税筹划策略，以决定应确认的递延所得税资产 的金额。
（8）内部退养福利及补充退休福利 本公司内部退养福利和补充退休福利费用支出及负债的金额依据各种假设条 件确定。
这些假设条件包括折现率、平均医疗费用增长率、内退人员及离退人员补 贴增长率和其他因素。
实际结果和假设的差异将在发生时立即确认并计入当年费 用。
尽管管理层认为已采用了合理假设，但实际经验值及假设条件的变化仍将影响 本公司内部退养福利和补充退休福利的费用及负债余额。
（9）预计负债 本公司根据合约条款、现有知识及历史经验，对产品质量保证、预计合同亏损、 延迟交货违约金等估计并计提相应准备。
在该等或有事项已经形成一项现时义务， 且履行该等现时义务很可能导致经济利益流出本公司的情况下，本公司对或有事项 按履行相关现时义务所需支出的最佳估计数确认为预计负债。
预计负债的确认和计 量在很大程度上依赖于管理层的判断。
在进行判断过程中本公司需评估该等或有事 项相关的风险、不确定性及货币时间价值等因素。
其中，本公司会就出售、维修及改造所售商品向客户提供的售后质量维修承诺 预计负债。
预计负债时已考虑本公司近期的维修经验数据，但近期的维修经验可能 无法反映将来的维修情况。",000037_2017_深南电A_2017年年度报告_2018-03-21.txt,000037,2017,深南电A,True,0,待标注句子未包含工业互联网核心关键词，不符合标注为1的强制条件（1）。句子内容涉及企业财务管理中的预计负债计提，属于会计核算范畴，与工业互联网平台应用无关，且未提及任何工业互联网相关技术或平台功能调用行为。
近年，国家出台了一系列政策，推进机床行业向高端化、智能化、绿色化、数字化转型发展，推动 机床与工业互联网的深度融合，在制造源头提升生产效率和制造精度，引导企业加大对数控系统、物联 网、人工智能等的投入，推进大规模设备更新和技术升级改造，推动机床制造加快转型升级。,"沈阳机床股份有限公司2024 年年度报告全文 10 第三节 管理层讨论与分析 一、报告期内公司所处行业情况 机床作为“工业母机”，其技术水平直接影响制造业的整体水平,是制造业的核心，被广泛应用于 汽车、航空航天、能源、电子等领域。
机床行业具有明显的周期性，通常与宏观经济和制造业投资周期 同步。
经济繁荣时，制造业投资增加，机床需求上升；
经济衰退时，制造业投资紧缩，机床需求下降。
此外，技术进步和产业升级也会影响行业周期。
近年，国家出台了一系列政策，推进机床行业向高端化、智能化、绿色化、数字化转型发展，推动 机床与工业互联网的深度融合，在制造源头提升生产效率和制造精度，引导企业加大对数控系统、物联 网、人工智能等的投入，推进大规模设备更新和技术升级改造，推动机床制造加快转型升级。
国家将高 端数控机床列为重点支持领域，提供资金、税收优惠和政策扶持。
加速推进高端机床国产化替代，减少 对进口设备的依赖；
鼓励企业加大研发投入，提升技术水平，增强了国内机床企业在国际市场的竞争 力。
2024 年，机床行业在技术进步、市场需求、政策支持和国际竞争等多重因素推动下，经历了显著 变化。
领先企业通过技术创新和市场拓展，进一步巩固了行业地位。",000410_2024_沈阳机床_2024年年度报告_2025-04-24.txt,000410,2024,沈阳机床,True,0,待标注句子包含工业互联网相关关键词（如“工业互联网的深度融合”、“物联网”、“人工智能”），但未满足核心标注规则中的自我应用属性（描述的是企业自身内部业务改造而非国家政策引导）、已落地实施（无明确企业自身已完成的应用行为动词）、主语明确（主语为“国家”而非企业自身）等条件，且存在未来时态词汇“推进”可能暗示未完成状态。根据规则第2、3、4、5条，判定为0。
